description,master_category,subcategory
Invested in MF,Investments,Mutual Funds
milk Swiggy se mangwaya,Food & Dining,Swiggy
Bought kitchen items,Home Expenses,Kitchen Items
Bought kitchen items,Home Expenses,Kitchen Items
Dairy products liye,Groceries,Milk & Dairy
Taxi fare to mall,Transport,Taxi
Late fee applied,Fees / Charges,Late Payment Fee
YouTube Premium renewed,Subscriptions / Memberships,YouTube Premium
Invested in MF,Investments,Mutual Funds
Bought pet food,Pet Care,Pet Food
Bought pet accessories,Pet Care,Accessories
Watched movie at Cinepolis,Entertainment,Movies
GST paid,Taxes,GST Payment
Paid school fees,Kids / Family,School Fees
Client lunch meeting,Business / Work Expenses,Client Lunch
Miscellaneous expense,Miscellaneous / Other,Other
Bought kitchen items,Home Expenses,Kitchen Items
Gym subscription renewed,Fitness & Sports,Gym Subscription
Meetha liya: fruits,Food & Dining,Dessert
Hotstar membership renewed,Subscriptions / Memberships,OTT
Paid hospital bill,Health & Medicine,Hospital
EV charging session,Fuel,EV Charging
Gas pipeline bill paid,Bills & Utilities,Gas Bill
Purchased electronics,Shopping,Electronics
Booked flight to home,Travel,Flights
Spotify subscription renewal,Subscriptions / Memberships,Music
Bought baby products,Kids / Family,Baby Products
Income tax payment,Taxes,Income Tax
Bought kitchen items,Home Expenses,Kitchen Items
Kirana store se fruits liya,Groceries,Kirana Store
Flight ticket to office,Travel,Flights
Home repair expense,Repairs & Maintenance,Home Repair
Apple Music payment,Subscriptions / Memberships,Apple Music
Bought pet food,Pet Care,Pet Food
Bought pet food,Pet Care,Pet Food
Life insurance renewal,Insurance,Life Insurance
Miscellaneous expense,Miscellaneous / Other,Other
Bought pet accessories,Pet Care,Accessories
DTH recharge done,Bills & Utilities,DTH/TV
Health insurance premium,Insurance,Health Insurance
Paid coaching fees,Education,Coaching
Home repair expense,Repairs & Maintenance,Home Repair
Watched movie at PVR,Entertainment,Movies
Monthly rent paid,Home Expenses,Rent
Vehicle insurance paid,Insurance,Vehicle Insurance
Invested in MF,Investments,Mutual Funds
Vet visit payment,Pet Care,Vet Visits
Gym subscription renewed,Fitness & Sports,Gym Subscription
Hotel booking in mall,Travel,Hotel Stay
Vet visit payment,Pet Care,Vet Visits
Bought baby products,Kids / Family,Baby Products
Bought fast food: coffee,Food & Dining,Fast Food
CNG bharwaya,Fuel,CNG
Train ticket booked to office,Transport,Train
Bank charge deducted,Fees / Charges,Bank Fees
Bought clothes online,Shopping,Clothing
Bought books,Education,Books
Bought sports equipment,Fitness & Sports,Sports Equipment
Spa session done,Personal Care,Spa
Petrol refill,Fuel,Petrol
Bought stocks,Investments,Stocks
Watched movie at PVR,Entertainment,Movies
Miscellaneous expense,Miscellaneous / Other,Other
Business trip to airport,Travel,Business Trip
Cleaning supplies bought,Home Expenses,Cleaning Supplies
Late fee applied,Fees / Charges,Late Payment Fee
Booked tour package to airport,Travel,Tour Packages
Ordered fries from Amazon,Shopping,Online Shopping
Holiday package for station,Travel,Tour Packages
Home repair expense,Repairs & Maintenance,Home Repair
Dominos se coffee aur fries liya,Food & Dining,Cafe
Spa session done,Personal Care,Spa
Subscription for online tool,Education,Online Tools
Health insurance premium,Insurance,Health Insurance
Car servicing cost,Repairs & Maintenance,Car Servicing
Ordered milk from Amazon,Shopping,Online Shopping
Bike servicing completed,Repairs & Maintenance,Bike Servicing
Bought books,Education,Books
Purchased electronics,Shopping,Electronics
Doctor consultation fee,Health & Medicine,Doctor Visit
Bought pet food,Pet Care,Pet Food
Bus ticket to mall,Transport,Bus
Paid health insurance,Health & Medicine,Medical Insurance
Netflix subscription renewal,Entertainment,OTT
Bought pet food,Pet Care,Pet Food
Apple Music payment,Subscriptions / Memberships,Apple Music
Purchased online course,Education,Courses
Electronics repair charges,Repairs & Maintenance,Electronics Repair
Vet visit payment,Pet Care,Vet Visits
Bought gift items,Gifts & Donations,Gifting Items
Vehicle insurance paid,Insurance,Vehicle Insurance
Paid coaching fees,Education,Coaching
CNG bharwaya,Fuel,CNG
Gym subscription renewed,Fitness & Sports,Gym Subscription
Donation made,Gifts & Donations,Charity
WiFi recharge,Bills & Utilities,Broadband/WiFi
Bought clothes online,Shopping,Clothing
Visited KFC for snacks,Food & Dining,Cafe
Office trip to home,Travel,Business Trip
Pani ka bill bhara,Bills & Utilities,Water Bill
Bought grooming products,Personal Care,Grooming
Paid for software subscription,Subscriptions / Memberships,Software Subscriptions
EV charging session,Fuel,EV Charging
Miscellaneous expense,Miscellaneous / Other,Other
fruits Swiggy se mangwaya,Food & Dining,Swiggy
Supermarket shopping: eggs,Groceries,Supermarket
Miscellaneous expense,Miscellaneous / Other,Other
Bought beauty products,Shopping,Beauty Products
Holiday package for airport,Travel,Tour Packages
Bike servicing completed,Repairs & Maintenance,Bike Servicing
Metro ride to office,Transport,Metro
Spa session done,Personal Care,Spa
Miscellaneous expense,Miscellaneous / Other,Other
Broadband bill paid,Bills & Utilities,Broadband/WiFi
Netflix subscription renewal,Entertainment,OTT
GST paid,Taxes,GST Payment
Miscellaneous expense,Miscellaneous / Other,Other
Miscellaneous expense,Miscellaneous / Other,Other
Car servicing cost,Repairs & Maintenance,Car Servicing
Metro ride to station,Transport,Metro
Bought shoes,Shopping,Footwear
BigBazaar se pasta liya,Groceries,Supermarket
Miscellaneous expense,Miscellaneous / Other,Other
Purchased online course,Education,Courses
Dessert treat: rice,Food & Dining,Dessert
Concert ticket for Badshah,Entertainment,Concerts
Dinner at Dominos,Food & Dining,Restaurants
Bought pet food,Pet Care,Pet Food
Dairy products liye,Groceries,Milk & Dairy
Booked tour package to station,Travel,Tour Packages
Bus ticket to station,Transport,Bus
Spa session done,Personal Care,Spa
Jio ka recharge kiya,Bills & Utilities,Mobile Recharge
Business trip to mall,Travel,Business Trip
Diesel refill,Fuel,Diesel
Late fee applied,Fees / Charges,Late Payment Fee
Watched movie at Cinepolis,Entertainment,Movies
Donation made,Gifts & Donations,Charity
Doctor consultation fee,Health & Medicine,Doctor Visit
Business meeting expense,Business / Work Expenses,Business Meetings
Stayed at hotel in station,Travel,Hotel Stay
Income tax payment,Taxes,Income Tax
Miscellaneous expense,Miscellaneous / Other,Other
Bought sports equipment,Fitness & Sports,Sports Equipment
EV charging session,Fuel,EV Charging
Attended event at station,Entertainment,Events
Gas pipeline bill paid,Bills & Utilities,Gas Bill
Late fee applied,Fees / Charges,Late Payment Fee
Subscription for online tool,Education,Online Tools
Uber liya mall jane ke liye,Transport,Uber
Joined yoga classes,Fitness & Sports,Yoga Classes
Bought gift items,Gifts & Donations,Gifting Items
Ola se home gaya,Transport,Ola
Health insurance premium,Insurance,Health Insurance
Health insurance premium,Insurance,Health Insurance
Purchased online course,Education,Courses
Deposited in RD account,Investments,FD/RD
Bought medicine: dolo 650,Health & Medicine,Pharmacy
Holiday package for office,Travel,Tour Packages
Paid for software subscription,Subscriptions / Memberships,Software Subscriptions
Purchased electronics,Shopping,Electronics
Hotel booking in mall,Travel,Hotel Stay
Crypto investment,Investments,Crypto
Miscellaneous expense,Miscellaneous / Other,Other
Bank charge deducted,Fees / Charges,Bank Fees
Miscellaneous expense,Miscellaneous / Other,Other
Daily kirana: pizza,Groceries,Kirana Store
Donation made,Gifts & Donations,Charity
Paid hospital bill,Health & Medicine,Hospital
Late fee applied,Fees / Charges,Late Payment Fee
Dinner at Dominos,Food & Dining,Restaurants
Late fee applied,Fees / Charges,Late Payment Fee
Team outing cost,Business / Work Expenses,Team Events
Hotel booking in mall,Travel,Hotel Stay
Life insurance renewal,Insurance,Life Insurance
Monthly rent paid,Home Expenses,Rent
Income tax payment,Taxes,Income Tax
Bought gift items,Gifts & Donations,Gifting Items
Home repair expense,Repairs & Maintenance,Home Repair
Bank charge deducted,Fees / Charges,Bank Fees
Bought snacks: coffee,Food & Dining,Snacks
Invested in MF,Investments,Mutual Funds
DTH recharge done,Bills & Utilities,DTH/TV
Vehicle insurance paid,Insurance,Vehicle Insurance
Income tax payment,Taxes,Income Tax
Purchased fresh pizza,Groceries,Fruits
Health insurance premium,Insurance,Health Insurance
Donation made,Gifts & Donations,Charity
Client lunch meeting,Business / Work Expenses,Client Lunch
Miscellaneous expense,Miscellaneous / Other,Other
Spa session done,Personal Care,Spa
Swiggy order: milk,Food & Dining,Swiggy
Bought baby products,Kids / Family,Baby Products
Paid school fees,Kids / Family,School Fees
Spotify subscription renewal,Subscriptions / Memberships,Music
Bought pet food,Pet Care,Pet Food
Broadband bill paid,Bills & Utilities,Broadband/WiFi
Donation made,Gifts & Donations,Charity
