description,category
Movie ticket at Cinepolis,entertainment
Ordered fruits from McDonald's,food
Had lunch at Subway,food
Paid electricity bill,bills
Random expense for fruits,other
Purchased milk from supermarket,groceries
Spotify monthly plan,entertainment
Random expense for bread,other
Daily grocery shopping: shoes,groceries
Picked up shoes from local market,groceries
Netflix subscription renewal,entertainment
Payment for cleaning,other
Purchased pizza from supermarket,groceries
Movie ticket at PVR,entertainment
Shopping for t-shirt,shopping
Concert ticket for Diljit Dosanjh,entertainment
Miscellaneous expense: pizza,other
Daily grocery shopping: vegetables,groceries
Ola cab from home to office,travel
Paid for petrol refill,travel
Bought shoes for dinner,food
WiFi bill payment for Jio,bills
Bought biryani for dinner,food
Bought medicines for dinner,food
Paid electricity bill,bills
Random expense for vegetables,other
Visited medical store for dolo 650,medicine
Ate milk at KFC,food
Concert ticket for Diljit Dosanjh,entertainment
Purchased biryani from supermarket,groceries
Had lunch at Cafe Coffee Day,food
Bought crocin from pharmacy,medicine
WiFi bill payment for Jio,bills
Ordered vegetables from Amazon,shopping
Bought medicines from Flipkart,shopping
Hospital bill for injury,medicine
Movie ticket at INOX,entertainment
Ordered fruits from Amazon,shopping
Purchased fruits online,shopping
Bought paracetamol from pharmacy,medicine
General purchase: pizza,other
Picked up bread from local market,groceries
Bought paracetamol from pharmacy,medicine
Random expense for t-shirt,other
Ordered milk from Amazon,shopping
Ordered milk from Subway,food
Bought vegetables for dinner,food
Miscellaneous expense: milk,other
General purchase: vegetables,other
Hospital bill for checkup,medicine
Payment for repair,other
Netflix subscription renewal,entertainment
Bought shoes from Flipkart,shopping
Purchased pizza from supermarket,groceries
Ordered shoes from KFC,food
Hospital bill for checkup,medicine
Ordered shoes from Amazon,shopping
Spotify monthly plan,entertainment
Concert ticket for Arijit Singh,entertainment
Ate pizza at McDonald's,food
Purchased medicine: dolo 650,medicine
Purchased t-shirt from supermarket,groceries
Concert ticket for Badshah,entertainment
Bought vegetables from Flipkart,shopping
Netflix subscription renewal,entertainment
Movie ticket at Cinepolis,entertainment
WiFi bill payment for VI,bills
Random expense for biryani,other
Ola cab from home to college,travel
Uber ride to college,travel
Spotify monthly plan,entertainment
WiFi bill payment for BSNL,bills
Bought bread from Flipkart,shopping
Had lunch at Subway,food
Picked up medicines from local market,groceries
Ordered fruits from KFC,food
Ordered milk from Amazon,shopping
Visited medical store for dolo 650,medicine
Movie ticket at PVR,entertainment
Hospital bill for checkup,medicine
Bought crocin from pharmacy,medicine
Bought medicines from Flipkart,shopping
Bought t-shirt for dinner,food
Ate fruits at Cafe Coffee Day,food
Bought shoes for dinner,food
Paid for petrol refill,travel
Paid for petrol refill,travel
Miscellaneous expense: pizza,other
Paid water bill,bills
Hospital bill for injury,medicine
Ate medicines at Cafe Coffee Day,food
Bought bread for dinner,food
Mobile recharge for BSNL,bills
Bought fruits from grocery store,groceries
Bus ticket to college,travel
Ordered medicines from McDonald's,food
Bought pizza for dinner,food
Paid electricity bill,bills
Netflix subscription renewal,entertainment
Mobile recharge for BSNL,bills
Netflix subscription renewal,entertainment
Bought biryani from grocery store,groceries
Paid water bill,bills
Payment for service,other
Hospital bill for injury,medicine
Paid water bill,bills
Paid for petrol refill,travel
Concert ticket for Arijit Singh,entertainment
General purchase: shoes,other
Uber ride to airport,travel
Shopping for medicines,shopping
Paid for petrol refill,travel
Payment for service,other
Mobile recharge for Airtel,bills
WiFi bill payment for BSNL,bills
Movie ticket at INOX,entertainment
Visited medical store for paracetamol,medicine
Uber ride to mall,travel
Ordered milk from Amazon,shopping
Shopping for medicines,shopping
Ate milk at Cafe Coffee Day,food
Netflix subscription renewal,entertainment
Hospital bill for checkup,medicine
Netflix subscription renewal,entertainment
Netflix subscription renewal,entertainment
Ordered milk from Amazon,shopping
Had lunch at Subway,food
Bought shoes for dinner,food
WiFi bill payment for Airtel,bills
Picked up vegetables from local market,groceries
Netflix subscription renewal,entertainment
Paid for petrol refill,travel
Concert ticket for Badshah,entertainment
Shopping for t-shirt,shopping
Concert ticket for Badshah,entertainment
Ola cab from home to mall,travel
Purchased milk from supermarket,groceries
Purchased milk online,shopping
Random expense for shoes,other
Miscellaneous expense: bread,other
General purchase: fruits,other
Ordered pizza from Dominos,food
Ordered t-shirt from Amazon,shopping
Shopping for milk,shopping
Picked up vegetables from local market,groceries
Concert ticket for Badshah,entertainment
Paid water bill,bills
Netflix subscription renewal,entertainment
Ate milk at KFC,food
Netflix subscription renewal,entertainment
Ola cab from home to mall,travel
Ola cab from home to mall,travel
Bought vegetables from grocery store,groceries
Uber ride to station,travel
Hospital bill for fever,medicine
Payment for service,other
Ordered medicines from Amazon,shopping
Visited medical store for cough syrup,medicine
Ordered pizza from Cafe Coffee Day,food
Purchased biryani online,shopping
Bought fruits for dinner,food
Paid water bill,bills
Spotify monthly plan,entertainment
Movie ticket at INOX,entertainment
Daily grocery shopping: bread,groceries
Purchased pizza online,shopping
Concert ticket for Diljit Dosanjh,entertainment
Uber ride to mall,travel
Daily grocery shopping: milk,groceries
Bought t-shirt from Flipkart,shopping
Bought fruits from Flipkart,shopping
Purchased t-shirt online,shopping
Netflix subscription renewal,entertainment
Spotify monthly plan,entertainment
Mobile recharge for Airtel,bills
Bought bread from Flipkart,shopping
Shopping for vegetables,shopping
Ola cab from home to airport,travel
